,bt,km,ownerNo,oem,model,Insurance Validity,Fuel Type,Transmission,Mileage,Engine,Torque,Engine and Transmission,Displacement,No of Cylinder,Values per Cylinder,Dimensions & Capacity,Length,Width,Height,Seating Capacity,Turning Radius,Top Speed,No Door Numbers,Wheel Size,Alloy Wheel Size,City,bhp,rpm,Reg_age,price_in_lakhs
0,Hatchback,120000,3,Maruti,Maruti Celerio,Third Party insurance,Petrol,Manual,23.1,998,90.0,13.0,998,3.0,4.0,8.0,3715,1635,1565,5,47,150.0,5,16.0,16.0,Bangalore,6704.0,6000.0,9,4.0
1,SUV,32706,2,Ford,Ford Ecosport,Comprehensive,Petrol,Manual,17.0,1497,150.0,13.0,1497,3.0,4.0,6.0,3998,1765,1647,5,53,165.0,4,16.0,16.0,Bangalore,12131.0,121.0,6,8.11
2,Hatchback,11949,1,Tata,Tata Tiago,Comprehensive,Petrol,Manual,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,Bangalore,84.0,6000.0,6,5.85
3,Sedan,17794,1,Hyundai,Hyundai Xcent,Comprehensive,Petrol,Manual,19.1,1197,113.75,11.0,1197,4.0,4.0,7.0,3995,1660,1520,5,47,172.0,4,14.0,14.0,Bangalore,8186.0,6000.0,10,4.62
4,SUV,60000,1,Maruti,Maruti SX4 S Cross,Third Party insurance,Diesel,Manual,23.65,1248,200.0,11.0,1248,4.0,4.0,6.0,4300,1785,1595,5,52,190.0,5,16.0,16.0,Bangalore,885.0,4000.0,9,7.9
5,SUV,20000,1,Jeep,Jeep Compass,Third Party insurance,Diesel,Manual,17.1,1956,350.0,11.0,1956,4.0,4.0,5.0,4395,1818,1640,5,53,165.0,5,17.0,17.0,Bangalore,170.0,170.0,4,19.0
6,Hatchback,37772,1,Datsun,Datsun GO,Comprehensive,Petrol,Manual,20.63,1198,104.0,11.0,1198,3.0,4.0,7.0,3785,1635,1490,5,46,150.0,5,16.0,16.0,Bangalore,67.0,5000.0,7,3.45
7,SUV,30000,1,Hyundai,Hyundai Venue,Third Party insurance,Petrol,Automatic,18.15,998,171.6,8.0,998,3.0,4.0,6.0,3995,1770,1605,5,53,165.0,5,16.0,16.0,Bangalore,11835.0,118.0,3,12.0
8,Sedan,37000,1,Maruti,Maruti Ciaz,Comprehensive,Petrol,Automatic,20.28,1462,138.0,12.0,1462,4.0,4.0,6.0,4490,1730,1485,5,54,165.0,4,16.0,16.0,Bangalore,10325.0,103.0,6,9.6
9,Hatchback,11949,1,Tata,Tata Tiago,Comprehensive,Petrol,Manual,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,16.0,16.0,Bangalore,84.0,6000.0,6,5.85
10,Hatchback,50000,1,Maruti,Maruti Baleno,Third Party insurance,Petrol,Manual,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,Bangalore,831.0,6000.0,6,6.9
11,Hatchback,24887,1,Hyundai,Hyundai Grand i10,Third Party insurance,Petrol,Automatic,18.9,1197,113.75,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,14.0,14.0,Bangalore,8186.0,6000.0,5,6.82
12,Hatchback,23000,1,Honda,Honda Jazz,Comprehensive,Petrol,Automatic,18.2,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,Bangalore,887.0,6000.0,6,8.25
13,Hatchback,48928,1,Tata,Tata Tiago,Comprehensive,Petrol,Automatic,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,Bangalore,8383.0,6000.0,6,5.95
14,SUV,108862,3,Mahindra,Mahindra XUV500,Comprehensive,Diesel,Manual,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,16.0,16.0,Bangalore,140.0,140.0,10,6.9
15,SUV,80000,1,Jeep,Jeep Compass,Third Party insurance,Diesel,Manual,17.1,1956,350.0,11.0,1956,4.0,4.0,5.0,4395,1818,1640,5,53,165.0,5,17.0,17.0,Bangalore,170.0,170.0,6,13.5
16,SUV,16000,1,Mercedes-Benz,Mercedes-Benz GLA,Comprehensive,Diesel,Automatic,18.9,1950,400.0,7.0,1950,4.0,4.0,7.0,4436,2020,1611,5,53,219.0,5,19.0,19.0,Bangalore,18774.0,187.0,2,55.95
17,Hatchback,65376,2,Hyundai,Hyundai i20,Comprehensive,Diesel,Manual,21.27,1396,219.6,11.0,1396,4.0,4.0,7.0,3995,1710,1505,5,53,165.0,5,14.0,14.0,Bangalore,8876.0,4000.0,10,5.21
18,SUV,10000,1,Tata,Tata Nexon,Third Party insurance,Petrol,Manual,17.33,1199,170.0,8.0,1199,3.0,4.0,5.0,3993,1811,1606,5,51,165.0,5,16.0,16.0,Bangalore,11835.0,118.0,2,10.05
19,Sedan,67000,2,Honda,Honda City,Comprehensive,Petrol,Manual,17.8,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,Bangalore,1173.0,117.0,8,7.75
20,Sedan,100000,3,BMW,BMW 5 Series,Third Party insurance,Diesel,Automatic,18.48,1995,35.7,12.0,1995,4.0,4.0,8.0,4841,1846,1468,5,53,226.0,4,17.0,17.0,Bangalore,177.0,177.0,13,22.0
21,Hatchback,18083,1,Maruti,Maruti Swift,Comprehensive,Petrol,Manual,22.38,1197,113.0,7.0,1197,4.0,4.0,8.0,3845,1735,1530,5,48,165.0,5,16.0,16.0,Bangalore,8850.0,6000.0,8,5.82
22,SUV,30000,1,Renault,Renault Duster,Third Party insurance,Petrol,Manual,16.42,1498,142.0,11.0,1498,4.0,4.0,8.0,4360,1822,1695,5,52,165.0,5,16.0,16.0,Bangalore,10455.0,104.0,4,10.9
23,Hatchback,57634,2,Tata,Tata Tiago,Comprehensive,Petrol,Manual,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,Bangalore,84.0,6000.0,8,4.57
24,Sedan,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,Third Party insurance,Petrol,Automatic,7.81,4663,700.0,12.0,4663,8.0,4.0,8.0,5246,2130,1494,5,615,250.0,4,19.0,19.0,Bangalore,45326.0,453.0,8,49.0
25,Sedan,110000,1,Honda,Honda City,Third Party insurance,Petrol,Manual,17.4,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,Bangalore,1173.0,117.0,9,5.5
26,Hatchback,23447,1,Hyundai,Hyundai Santro,Comprehensive,Petrol,Automatic,20.3,1086,99.0,11.0,1086,4.0,3.0,7.0,3610,1645,1560,5,53,165.0,5,16.0,16.0,Bangalore,68.0,5500.0,6,5.7
27,Hatchback,30000,2,Hyundai,Hyundai Santro Xing,Third Party insurance,LPG,Manual,13.45,1086,96.1,11.0,1086,3.0,4.0,7.0,3565,1525,1590,5,44,165.0,5,13.0,13.0,Bangalore,621.0,5500.0,15,2.2
28,Sedan,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,Comprehensive,Petrol,Automatic,15.0,1991,300.0,11.0,1991,4.0,4.0,7.0,5063,1860,1494,5,6,236.0,4,17.0,17.0,Bangalore,1944.0,194.0,7,41.45
29,SUV,87667,2,Mahindra,Mahindra XUV500,Third Party,Diesel,Manual,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,16.0,16.0,Bangalore,140.0,140.0,10,8.61
30,Sedan,40000,2,Audi,Audi A4,Third Party insurance,Diesel,Automatic,17.11,1968,380.0,11.0,1968,4.0,4.0,8.0,4701,2040,1427,5,58,222.0,4,16.0,16.0,Bangalore,17433.0,174.0,8,17.85
31,SUV,79012,2,Mahindra,Mahindra XUV500,Comprehensive,Diesel,Manual,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,17.0,17.0,Bangalore,140.0,140.0,10,8.03
32,SUV,31344,1,Jeep,Jeep Compass,Comprehensive,Diesel,Manual,17.1,1956,350.0,8.0,1956,4.0,4.0,5.0,4405,1818,1640,5,53,165.0,5,18.0,18.0,Bangalore,16767.0,167.0,3,25.65
33,Sedan,50000,1,Hyundai,Hyundai Xcent,Third Party insurance,Petrol,Manual,20.14,1197,113.75,11.0,1197,4.0,4.0,7.0,3995,1660,1520,5,47,172.0,4,14.0,14.0,Bangalore,8186.0,6000.0,6,6.74
34,Hatchback,12434,1,Maruti,Maruti Wagon R,Comprehensive,Petrol,Manual,20.51,998,90.0,11.0,998,3.0,4.0,8.0,3599,1495,1700,5,46,152.0,5,16.0,16.0,Bangalore,6704.0,6200.0,9,3.49
35,MUV,60000,2,Maruti,Maruti Ertiga,Third Party insurance,Petrol,Manual,19.34,1462,138.0,13.0,1462,4.0,4.0,8.0,4395,1735,1690,7,52,165.0,5,16.0,16.0,Bangalore,103.0,103.0,5,10.5
36,Sedan,12000,1,Mercedes-Benz,Mercedes-Benz C-Class,Comprehensive,Diesel,Automatic,12.6,1950,400.0,11.0,1950,4.0,4.0,8.0,4686,2020,1442,5,561,240.0,4,17.0,17.0,Bangalore,194.0,194.0,5,44.25
37,Hatchback,40987,2,Maruti,Maruti Wagon R,Comprehensive,Petrol,Manual,20.51,998,90.0,11.0,998,3.0,4.0,8.0,3599,1495,1700,5,46,152.0,5,16.0,16.0,Bangalore,6704.0,6200.0,9,4.06
38,Sedan,18157,1,BMW,BMW 5 Series,Zero Dep,Petrol,Automatic,15.56,1998,350.0,10.0,1998,4.0,4.0,7.0,4936,2126,1466,5,56,250.0,4,18.0,18.0,Bangalore,24808.0,248.0,4,49.65
39,SUV,120000,3,Toyota,Toyota Fortuner,Third Party insurance,Diesel,Manual,11.5,2982,343.0,11.0,2982,4.0,4.0,8.0,4695,1840,1850,7,59,176.0,5,17.0,17.0,Bangalore,171.0,171.0,13,11.0
40,SUV,40000,2,Renault,Renault Duster,Third Party insurance,Diesel,Automatic,19.87,1461,245.0,10.0,1461,4.0,4.0,8.0,4360,1822,1695,5,52,165.0,5,16.0,16.0,Bangalore,1085.0,108.0,4,11.0
41,Hatchback,89667,1,Hyundai,Hyundai i20,Comprehensive,Petrol,Manual,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,Bangalore,8183.0,6000.0,8,5.94
42,Hatchback,120000,1,Hyundai,Hyundai i20,Third Party insurance,Diesel,Manual,22.54,1396,219.7,11.0,1396,4.0,4.0,7.0,3985,1734,1505,5,52,180.0,5,16.0,16.0,Bangalore,8873.0,4000.0,7,7.1
43,Hatchback,56997,1,Maruti,Maruti Baleno,Zero Dep,Petrol,Manual,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,Bangalore,831.0,6000.0,7,6.92
44,Sedan,120000,1,Hyundai,Hyundai Elantra,Third Party insurance,Petrol,Manual,16.3,1797,177.5,13.0,1797,4.0,4.0,8.0,4530,1775,1470,5,53,191.0,4,16.0,16.0,Bangalore,1475.0,147.0,11,6.5
45,Sedan,59000,1,Audi,Audi A6,Third Party insurance,Diesel,Automatic,18.53,1968,400.0,11.0,1968,4.0,4.0,8.0,4933,1874,1455,5,595,232.0,4,18.0,18.0,Bangalore,18774.0,187.0,8,20.9
46,Hatchback,18835,1,Maruti,Maruti Alto 800,Zero Dep,Petrol,Manual,22.05,796,69.0,7.0,796,3.0,4.0,8.0,3445,1515,1475,5,46,165.0,5,16.0,16.0,Bangalore,4733.0,6000.0,3,4.11
47,SUV,120000,2,Mahindra,Mahindra Scorpio,Third Party insurance,Diesel,Manual,12.05,2179,290.0,10.0,2179,4.0,4.0,6.0,4430,1817,1975,7,56,165.0,5,16.0,16.0,Bangalore,120.0,120.0,14,6.5
48,Hatchback,40000,1,Mini,Mini 3 DOOR,Comprehensive,Petrol,Automatic,17.33,1998,280.0,12.0,1998,4.0,4.0,8.0,3850,1727,1414,4,54,233.0,3,16.0,16.0,Bangalore,18908.0,189.0,8,36.75
