,width,reg_age,length,wheel size,alloy wheel size,rpm,km,city,torque,top speed,mileage,height,model,engine and transmission,transmission,engine,displacement
0,0.2777777777777779,0.38095238095238093,0.29782958199356924,16.0,16.0,0.9090909090909091,0.02181818181818182,0,0.10080454330336015,0.4838709677419355,0.12052362323201929,1.849105883874949e-05,160,13.0,1,0.1996,0.1996
1,0.43827160493827155,0.23809523809523808,0.41157556270096474,16.0,16.0,0.018333333333333333,0.005946545454545455,0,0.17179365830572643,0.532258064516129,0.07463135720734276,2.396494629281974e-05,50,13.0,1,0.2994,0.2994
2,0.2925925925925925,0.23809523809523808,0.31028938906752423,14.0,14.0,0.9090909090909091,0.0021725454545454548,0,0.12920018930430666,0.4838709677419355,0.12609088173337346,1.6488417087260368e-05,273,13.0,1,0.2398,0.2398
3,0.3086419753086418,0.42857142857142855,0.41036977491961424,14.0,14.0,0.9090909090909091,0.0032352727272727273,0,0.12890440132513012,0.5548387096774193,0.0904303340355101,1.5487096211515815e-05,87,11.0,1,0.2394,0.2394
4,0.462962962962963,0.38095238095238093,0.5329581993569132,16.0,16.0,0.6060606060606061,0.01090909090909091,0,0.23095125414103168,0.6129032258064516,0.12466145049653926,2.049370059023861e-05,178,11.0,1,0.24960000000000002,0.24960000000000002
6,0.2777777777777779,0.2857142857142857,0.3259646302250805,16.0,16.0,0.7575757575757576,0.006867636363636364,0,0.11736867013724563,0.4838709677419355,0.10194101715317486,1.3484454460026708e-05,37,11.0,1,0.2396,0.2396
7,0.4444444444444444,0.09523809523809523,0.41036977491961424,16.0,16.0,0.01787878787878788,0.005454545454545455,0,0.1973497397065783,0.532258064516129,0.08328317785133915,2.1161247840734978e-05,85,8.0,0,0.1996,0.1996
8,0.39506172839506193,0.23809523809523808,0.6093247588424437,16.0,16.0,0.015606060606060606,0.006727272727272728,0,0.15759583530525317,0.532258064516129,0.0993078543484803,1.3150680834778523e-05,163,12.0,0,0.2924,0.2924
9,0.2925925925925925,0.23809523809523808,0.31028938906752423,16.0,16.0,0.9090909090909091,0.0021725454545454548,0,0.12920018930430666,0.4838709677419355,0.12609088173337346,1.6488417087260368e-05,273,13.0,1,0.2398,0.2398
10,0.4135802469135801,0.23809523809523808,0.41036977491961424,16.0,16.0,0.9090909090909091,0.009090909090909092,0,0.13038334122101278,0.5806451612903226,0.10773397532350285,1.4819548961019446e-05,157,11.0,1,0.2394,0.2394
11,0.3086419753086418,0.19047619047619047,0.31792604501607724,14.0,14.0,0.9090909090909091,0.004524909090909092,0,0.12890440132513012,0.532258064516129,0.08892566957568462,1.5487096211515815e-05,77,11.0,0,0.2394,0.2394
12,0.3506172839506172,0.23809523809523808,0.39429260450160775,15.0,15.0,0.9090909090909091,0.004181818181818182,0,0.12446758163748224,0.5548387096774193,0.08365934396629551,1.7089209612707114e-05,66,11.0,0,0.2398,0.2398
13,0.2925925925925925,0.23809523809523808,0.31028938906752423,14.0,14.0,0.9090909090909091,0.008896000000000001,0,0.12920018930430666,0.4838709677419355,0.12609088173337346,1.6488417087260368e-05,273,13.0,0,0.2398,0.2398
14,0.5925925925925928,0.42857142857142855,0.647508038585209,16.0,16.0,0.021212121212121213,0.01979309090909091,0,0.38476100331282537,0.5645161290322581,0.06033704483900091,3.317709834966966e-05,147,11.0,1,0.4358,0.4358
15,0.5037037037037038,0.23809523809523808,0.5711414790996785,17.0,17.0,0.025757575757575757,0.014545454545454547,0,0.40842404164694746,0.532258064516129,0.07538368943725551,2.349766321747227e-05,101,11.0,1,0.3912,0.3912
17,0.37037037037037046,0.42857142857142855,0.41036977491961424,14.0,14.0,0.6060606060606061,0.011886545454545455,0,0.25414103170847135,0.532258064516129,0.1067559434246163,1.4485775335771261e-05,90,11.0,1,0.2792,0.2792
18,0.4950617283950616,0.047619047619047616,0.409565916398714,16.0,16.0,0.01787878787878788,0.0018181818181818184,0,0.19545669663984855,0.532258064516129,0.07711405356605477,2.1228002565784615e-05,265,8.0,1,0.2398,0.2398
19,0.35185185185185186,0.3333333333333333,0.5892282958199357,15.0,15.0,0.017727272727272727,0.012181818181818183,0,0.1658778987221959,0.6290322580645161,0.0806500150466446,1.3818228085274892e-05,63,13.0,1,0.2994,0.2994
21,0.40123456790123435,0.3333333333333333,0.3500803858520902,16.0,16.0,0.9090909090909091,0.003287818181818182,0,0.12801703738760056,0.532258064516129,0.1151068311766476,1.6154643462012183e-05,179,7.0,1,0.2394,0.2394
22,0.508641975308642,0.14285714285714285,0.557073954983923,16.0,16.0,0.01575757575757576,0.005454545454545455,0,0.1623284429720776,0.532258064516129,0.07026783027384895,2.7169173095202312e-05,236,11.0,1,0.29960000000000003,0.29960000000000003
23,0.2925925925925925,0.3333333333333333,0.31028938906752423,14.0,14.0,0.9090909090909091,0.01047890909090909,0,0.12920018930430666,0.4838709677419355,0.12609088173337346,1.6488417087260368e-05,273,13.0,1,0.2398,0.2398
25,0.35185185185185186,0.38095238095238093,0.5892282958199357,15.0,15.0,0.017727272727272727,0.02,0,0.1658778987221959,0.6290322580645161,0.07764068612699368,1.3818228085274892e-05,63,13.0,1,0.2994,0.2994
26,0.29012345679012363,0.23809523809523808,0.25562700964630225,16.0,16.0,0.8333333333333334,0.004263090909090909,0,0.1114529105537151,0.532258064516129,0.09945832079446285,1.8157285213501304e-05,81,11.0,0,0.2172,0.2172
27,0.14197530864197527,0.6666666666666665,0.23754019292604522,13.0,13.0,0.8333333333333334,0.005454545454545455,0,0.10802176999526739,0.532258064516129,0.04792356304544087,2.0159926964990424e-05,82,11.0,1,0.2172,0.2172
29,0.5925925925925928,0.42857142857142855,0.647508038585209,16.0,16.0,0.021212121212121213,0.015939454545454545,0,0.38476100331282537,0.5645161290322581,0.06033704483900091,3.317709834966966e-05,147,11.0,1,0.4358,0.4358
30,0.7777777777777779,0.3333333333333333,0.6941318327974277,16.0,16.0,0.026363636363636363,0.007272727272727274,0,0.4439185991481306,0.7161290322580646,0.07545892266024676,9.278906781899556e-06,3,11.0,0,0.3936,0.3936
31,0.5925925925925928,0.42857142857142855,0.647508038585209,17.0,17.0,0.021212121212121213,0.014365818181818183,0,0.38476100331282537,0.5645161290322581,0.06033704483900091,3.317709834966966e-05,147,11.0,1,0.4358,0.4358
33,0.3086419753086418,0.23809523809523808,0.41036977491961424,14.0,14.0,0.9090909090909091,0.009090909090909092,0,0.12890440132513012,0.5548387096774193,0.09825458922660249,1.5487096211515815e-05,87,11.0,1,0.2394,0.2394
34,0.1049382716049383,0.38095238095238093,0.2512057877813505,16.0,16.0,0.9393939393939394,0.0022607272727272728,0,0.10080454330336015,0.49032258064516127,0.10103821847727959,2.750294672045051e-05,184,11.0,1,0.1996,0.1996
