,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
0,2,120000,3,20,160,5,4,1,23.1,998,90.0,13.0,998,3.0,4.0,8.0,3715,1635,1565,5,47,150.0,5,16.0,16.0,0,6704.0,6000.0,9,4.0
1,7,32706,2,6,50,2,4,1,17.0,1497,150.0,13.0,1497,3.0,4.0,6.0,3998,1765,1647,5,53,165.0,4,16.0,16.0,0,12131.0,121.0,6,8.11
2,2,11949,1,29,273,2,4,1,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,0,84.0,6000.0,6,5.85
3,8,17794,1,9,87,2,4,1,19.1,1197,113.75,11.0,1197,4.0,4.0,7.0,3995,1660,1520,5,47,172.0,4,14.0,14.0,0,8186.0,6000.0,10,4.62
4,7,60000,1,20,178,5,1,1,23.65,1248,200.0,11.0,1248,4.0,4.0,6.0,4300,1785,1595,5,52,190.0,5,16.0,16.0,0,885.0,4000.0,9,7.9
5,7,20000,1,12,101,5,1,1,17.1,1956,350.0,11.0,1956,4.0,4.0,5.0,4395,1818,1640,5,53,165.0,5,17.0,17.0,0,170.0,170.0,4,19.0
6,2,37772,1,4,37,2,4,1,20.63,1198,104.0,11.0,1198,3.0,4.0,7.0,3785,1635,1490,5,46,150.0,5,16.0,16.0,0,67.0,5000.0,7,3.45
7,7,30000,1,9,85,5,4,0,18.15,998,171.6,8.0,998,3.0,4.0,6.0,3995,1770,1605,5,53,165.0,5,16.0,16.0,0,11835.0,118.0,3,12.0
8,8,37000,1,20,163,2,4,0,20.28,1462,138.0,12.0,1462,4.0,4.0,6.0,4490,1730,1485,5,54,165.0,4,16.0,16.0,0,10325.0,103.0,6,9.6
9,2,11949,1,29,273,2,4,1,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,16.0,16.0,0,84.0,6000.0,6,5.85
10,2,50000,1,20,157,5,4,1,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,6,6.9
11,2,24887,1,9,77,5,4,0,18.9,1197,113.75,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,14.0,14.0,0,8186.0,6000.0,5,6.82
12,2,23000,1,8,66,2,4,0,18.2,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,0,887.0,6000.0,6,8.25
13,2,48928,1,29,273,2,4,0,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,0,8383.0,6000.0,6,5.95
14,7,108862,3,17,147,2,1,1,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,16.0,16.0,0,140.0,140.0,10,6.9
15,7,80000,1,12,101,5,1,1,17.1,1956,350.0,11.0,1956,4.0,4.0,5.0,4395,1818,1640,5,53,165.0,5,17.0,17.0,0,170.0,170.0,6,13.5
16,7,16000,1,21,204,2,1,0,18.9,1950,400.0,7.0,1950,4.0,4.0,7.0,4436,2020,1611,5,53,219.0,5,19.0,19.0,0,18774.0,187.0,2,55.95
17,2,65376,2,9,90,2,1,1,21.27,1396,219.6,11.0,1396,4.0,4.0,7.0,3995,1710,1505,5,53,165.0,5,14.0,14.0,0,8876.0,4000.0,10,5.21
18,7,10000,1,29,265,5,4,1,17.33,1199,170.0,8.0,1199,3.0,4.0,5.0,3993,1811,1606,5,51,165.0,5,16.0,16.0,0,11835.0,118.0,2,10.05
19,8,67000,2,8,63,2,4,1,17.8,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,0,1173.0,117.0,8,7.75
20,8,100000,3,1,17,5,1,0,18.48,1995,35.7,12.0,1995,4.0,4.0,8.0,4841,1846,1468,5,53,226.0,4,17.0,17.0,0,177.0,177.0,13,22.0
21,2,18083,1,20,179,2,4,1,22.38,1197,113.0,7.0,1197,4.0,4.0,8.0,3845,1735,1530,5,48,165.0,5,16.0,16.0,0,8850.0,6000.0,8,5.82
22,7,30000,1,27,236,5,4,1,16.42,1498,142.0,11.0,1498,4.0,4.0,8.0,4360,1822,1695,5,52,165.0,5,16.0,16.0,0,10455.0,104.0,4,10.9
23,2,57634,2,29,273,2,4,1,23.84,1199,114.0,13.0,1199,3.0,4.0,7.0,3746,1647,1535,5,49,150.0,5,14.0,14.0,0,84.0,6000.0,8,4.57
24,8,50000,2,21,211,5,4,0,7.81,4663,700.0,12.0,4663,8.0,4.0,8.0,5246,2130,1494,5,615,250.0,4,19.0,19.0,0,45326.0,453.0,8,49.0
25,8,110000,1,8,63,5,4,1,17.4,1497,145.0,13.0,1497,4.0,4.0,7.0,4440,1695,1495,5,53,195.0,4,15.0,15.0,0,1173.0,117.0,9,5.5
26,2,23447,1,9,81,2,4,0,20.3,1086,99.0,11.0,1086,4.0,3.0,7.0,3610,1645,1560,5,53,165.0,5,16.0,16.0,0,68.0,5500.0,6,5.7
27,2,30000,2,9,82,5,3,1,13.45,1086,96.1,11.0,1086,3.0,4.0,7.0,3565,1525,1590,5,44,165.0,5,13.0,13.0,0,621.0,5500.0,15,2.2
28,8,33000,1,21,200,2,4,0,15.0,1991,300.0,11.0,1991,4.0,4.0,7.0,5063,1860,1494,5,6,236.0,4,17.0,17.0,0,1944.0,194.0,7,41.45
29,7,87667,2,17,147,4,1,1,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,16.0,16.0,0,140.0,140.0,10,8.61
30,8,40000,2,0,3,5,1,0,17.11,1968,380.0,11.0,1968,4.0,4.0,8.0,4701,2040,1427,5,58,222.0,4,16.0,16.0,0,17433.0,174.0,8,17.85
31,7,79012,2,17,147,2,1,1,15.1,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,175.0,5,17.0,17.0,0,140.0,140.0,10,8.03
32,7,31344,1,12,101,2,1,1,17.1,1956,350.0,8.0,1956,4.0,4.0,5.0,4405,1818,1640,5,53,165.0,5,18.0,18.0,0,16767.0,167.0,3,25.65
33,8,50000,1,9,87,5,4,1,20.14,1197,113.75,11.0,1197,4.0,4.0,7.0,3995,1660,1520,5,47,172.0,4,14.0,14.0,0,8186.0,6000.0,6,6.74
34,2,12434,1,20,184,2,4,1,20.51,998,90.0,11.0,998,3.0,4.0,8.0,3599,1495,1700,5,46,152.0,5,16.0,16.0,0,6704.0,6200.0,9,3.49
35,4,60000,2,20,165,5,4,1,19.34,1462,138.0,13.0,1462,4.0,4.0,8.0,4395,1735,1690,7,52,165.0,5,16.0,16.0,0,103.0,103.0,5,10.5
36,8,12000,1,21,197,2,1,0,12.6,1950,400.0,11.0,1950,4.0,4.0,8.0,4686,2020,1442,5,561,240.0,4,17.0,17.0,0,194.0,194.0,5,44.25
37,2,40987,2,20,184,2,4,1,20.51,998,90.0,11.0,998,3.0,4.0,8.0,3599,1495,1700,5,46,152.0,5,16.0,16.0,0,6704.0,6200.0,9,4.06
38,8,18157,1,1,17,6,4,0,15.56,1998,350.0,10.0,1998,4.0,4.0,7.0,4936,2126,1466,5,56,250.0,4,18.0,18.0,0,24808.0,248.0,4,49.65
39,7,120000,3,30,285,5,1,1,11.5,2982,343.0,11.0,2982,4.0,4.0,8.0,4695,1840,1850,7,59,176.0,5,17.0,17.0,0,171.0,171.0,13,11.0
40,7,40000,2,27,236,5,1,0,19.87,1461,245.0,10.0,1461,4.0,4.0,8.0,4360,1822,1695,5,52,165.0,5,16.0,16.0,0,1085.0,108.0,4,11.0
41,2,89667,1,9,90,2,4,1,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,0,8183.0,6000.0,8,5.94
42,2,120000,1,9,90,5,1,1,22.54,1396,219.7,11.0,1396,4.0,4.0,7.0,3985,1734,1505,5,52,180.0,5,16.0,16.0,0,8873.0,4000.0,7,7.1
43,2,56997,1,20,157,6,4,1,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,7,6.92
44,8,120000,1,9,75,5,4,1,16.3,1797,177.5,13.0,1797,4.0,4.0,8.0,4530,1775,1470,5,53,191.0,4,16.0,16.0,0,1475.0,147.0,11,6.5
45,8,59000,1,0,4,5,1,0,18.53,1968,400.0,11.0,1968,4.0,4.0,8.0,4933,1874,1455,5,595,232.0,4,18.0,18.0,0,18774.0,187.0,8,20.9
46,2,18835,1,20,155,6,4,1,22.05,796,69.0,7.0,796,3.0,4.0,8.0,3445,1515,1475,5,46,165.0,5,16.0,16.0,0,4733.0,6000.0,3,4.11
47,7,120000,2,17,138,5,1,1,12.05,2179,290.0,10.0,2179,4.0,4.0,6.0,4430,1817,1975,7,56,165.0,5,16.0,16.0,0,120.0,120.0,14,6.5
48,2,40000,1,22,213,2,4,0,17.33,1998,280.0,12.0,1998,4.0,4.0,8.0,3850,1727,1414,4,54,233.0,3,16.0,16.0,0,18908.0,189.0,8,36.75
