,price_in_lakhs
0,4.0
1,8.11
2,5.85
3,4.62
4,7.9
6,3.45
7,12.0
8,9.6
9,5.85
10,6.9
11,6.82
12,8.25
13,5.95
14,6.9
15,13.5
17,5.21
18,10.05
19,7.75
21,5.82
22,10.9
23,4.57
25,5.5
26,5.7
27,2.2
29,8.61
30,17.85
31,8.03
33,6.74
34,3.49
35,10.5
37,4.06
39,11.0
40,11.0
41,5.94
42,7.1
43,6.92
44,6.5
46,4.11
47,6.5
49,6.1
50,16.75
51,5.3
53,2.5
54,7.15
57,6.25
59,6.5
60,5.5
61,8.25
62,2.2
63,4.28
64,6.95
65,9.3
66,4.55
67,11.95
69,4.42
70,6.9
71,5.0
73,6.5
74,5.37
75,7.5
76,17.9
77,4.68
78,4.2
79,4.2
80,9.2
81,5.33
82,8.5
83,7.51
84,3.88
85,4.9
86,4.94
87,5.25
89,5.5
90,3.65
91,4.2
94,10.5
96,3.94
97,7.25
98,2.4
99,8.35
100,6.95
101,17.25
102,3.3
103,9.9
104,7.5
105,7.55
106,17.5
108,2.71
109,12.8
110,4.36
111,16.75
112,12.5
113,13.5
114,12.5
116,4.75
117,6.0
119,16.25
120,16.5
121,2.49
122,6.3
124,2.49
125,3.85
126,3.0
128,2.76
129,5.0
130,7.3
132,3.99
133,3.12
134,12.75
136,7.19
137,12.6
138,3.0
140,6.27
141,13.0
142,6.72
143,18.25
145,4.4
146,14.6
148,10.33
149,2.75
150,6.76
152,6.5
153,4.44
154,5.1
155,9.25
156,10.24
157,5.0
158,9.95
159,9.35
160,8.34
161,5.6
162,4.54
164,11.0
165,4.62
166,9.0
168,8.43
169,7.99
170,5.76
171,9.49
172,7.95
173,10.85
175,5.16
176,7.77
177,7.53
178,12.26
179,7.25
180,11.5
181,6.29
182,4.47
183,4.0
184,7.86
185,7.45
186,4.9
187,9.42
188,6.75
189,3.3
190,8.75
191,8.69
192,4.25
193,10.7
194,10.25
195,10.0
196,3.75
197,3.75
198,8.44
199,7.64
200,4.2
201,6.84
202,8.03
203,3.2
204,8.04
205,14.0
206,5.48
207,6.19
208,10.0
209,8.65
210,10.0
211,5.35
212,9.75
213,6.99
214,11.5
215,6.25
216,10.0
217,6.0
218,6.75
219,8.93
220,4.2
221,9.41
222,6.3
223,12.75
224,5.25
225,7.5
226,6.32
227,6.45
228,5.0
230,8.5
231,2.99
234,9.99
235,8.25
236,2.5
237,12.95
238,3.29
239,6.66
241,10.26
242,17.0
243,6.81
244,16.9
245,3.18
246,6.88
247,13.0
248,2.65
249,6.45
251,9.0
252,6.2
253,14.7
254,2.2
255,14.75
256,4.15
257,6.1
258,5.6
259,4.25
260,6.86
261,5.17
262,3.85
263,6.75
265,4.99
266,7.74
267,14.75
268,2.4
269,10.25
270,14.0
271,2.85
272,10.0
273,7.8
274,4.75
275,7.5
276,5.55
277,6.07
278,5.14
279,2.5
280,7.05
281,6.53
282,8.72
283,5.64
284,3.7
285,5.5
286,5.17
287,6.2
288,6.2
289,7.5
290,12.2
291,13.5
292,5.75
293,12.5
294,8.68
296,9.8
297,9.0
298,5.5
299,4.5
300,6.1
301,5.43
302,9.8
303,5.35
304,8.5
305,6.61
306,5.05
307,4.5
308,8.65
309,9.99
310,5.95
312,4.0
313,5.5
315,16.0
316,5.2
317,6.16
318,7.95
319,12.75
320,6.24
321,5.49
322,7.6
323,5.24
324,16.5
325,5.83
326,11.47
327,17.5
328,8.25
330,7.55
331,8.75
332,8.55
333,18.45
334,5.25
335,6.5
336,9.5
337,8.46
338,4.24
339,2.1
340,9.59
341,8.89
342,8.5
343,8.36
344,6.6
345,3.34
346,5.94
347,9.91
348,14.5
349,2.19
350,12.85
352,4.55
353,8.25
354,8.25
355,9.2
357,7.29
358,4.32
359,7.0
360,14.99
361,7.62
362,16.25
363,6.32
364,12.18
365,5.24
366,14.05
367,13.9
369,12.75
370,2.75
371,11.25
372,6.5
373,7.0
374,11.0
375,2.6
376,3.95
377,6.81
378,4.05
379,7.65
380,4.87
381,14.74
382,13.4
383,7.7
384,8.18
385,7.24
386,4.68
387,5.0
388,6.0
389,13.5
390,5.25
391,1.75
392,7.25
393,5.5
394,6.5
395,7.75
396,9.0
397,4.08
398,6.42
399,9.0
400,5.21
401,6.95
402,3.9
403,4.29
404,5.2
405,6.25
406,6.01
407,13.0
408,6.45
410,6.95
411,5.0
412,16.44
413,8.95
414,3.5
415,5.5
416,7.5
417,5.81
418,5.13
419,6.5
420,8.06
421,7.25
423,4.26
424,4.85
425,3.51
426,4.9
427,14.95
428,5.1
430,10.25
432,8.25
433,6.75
434,1.9
435,8.9
436,8.23
437,5.54
438,4.99
439,8.15
440,7.19
441,3.72
442,5.15
443,5.54
444,7.0
445,4.1
446,6.85
448,18.0
449,1.8
450,7.65
452,4.91
453,11.75
454,9.99
455,7.15
457,17.79
458,4.04
459,3.58
460,5.81
461,6.3
